Company Name,Industry,Country,GenAI Tool,Adoption Year,Number of Employees Impacted,New Roles Created,Training Hours Provided,Productivity Change (%),Employee Sentiment
"Ball, Buchanan and Acevedo Pvt. Ltd.",Education,Singapore,Mixtral,2022,15374,17,2769,5.7,"AI helped me reduce repetitive tasks, but learning curve was steep. My team adapted faster than others."
Berry-Small Pvt. Ltd.,Advertising,UK,Mixtral,2023,7766,25,12668,29.2,"AI helped me reduce repetitive tasks, but learning curve was steep. Some departments feel left behind."
"Russell, Price and Clark Pvt. Ltd.",Education,Canada,Mixtral,2023,19625,13,9316,26.2,I love using AI—it makes my job easier and more fun. It changed how we communicate internally.
"Martin, Mcpherson and Holloway Pvt. Ltd.",Advertising,India,LLaMA,2023,17087,24,13549,25.8,"We now finish tasks faster, but some older employees are struggling. Internal newsletters now highlight AI use cases."
Everett Group Pvt. Ltd.,Manufacturing,France,Groq,2024,7150,7,15395,28.1,Collaboration improved; documentation and meetings are more efficient. Job rotations have increased.
Willis-Jordan Pvt. Ltd.,Telecom,USA,Gemini,2023,18229,29,15394,13.6,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
Sanchez and Sons Pvt. Ltd.,Telecom,UK,Mixtral,2022,4241,9,14156,9.3,There's concern that AI will replace some of us soon. HR hosted webinars weekly.
"Todd, Huff and Young Pvt. Ltd.",Technology,USA,Mixtral,2022,6803,24,22910,32.6,There's concern that AI will replace some of us soon. Clients now expect faster results due to AI use.
Robertson-Munoz Pvt. Ltd.,Retail,France,ChatGPT,2024,11699,29,24686,15.2,There's concern that AI will replace some of us soon. Some departments feel left behind.
Lamb-Huang Pvt. Ltd.,Utilities,France,Gemini,2022,18595,6,7187,6.0,There's concern that AI will replace some of us soon. My team adapted faster than others.
"Owens, Osborne and Mcintyre Pvt. Ltd.",Manufacturing,Canada,Claude,2023,6095,9,1695,34.4,"Job roles have shifted a lot, which is both good and scary. Some departments feel left behind."
Shah-Carroll Pvt. Ltd.,Manufacturing,France,ChatGPT,2023,13529,25,7817,8.6,"AI helped me reduce repetitive tasks, but learning curve was steep. My team adapted faster than others."
"Williams, Gonzales and Thomas Pvt. Ltd.",Finance,USA,Claude,2024,19001,4,23064,29.4,"Job roles have shifted a lot, which is both good and scary. Some departments feel left behind."
"Rogers, Porter and Neal Pvt. Ltd.",Technology,South Africa,LLaMA,2023,3332,4,20188,17.7,Collaboration improved; documentation and meetings are more efficient. My team adapted faster than others.
Rice-Hess Pvt. Ltd.,Transportation,Switzerland,Claude,2023,5584,11,22706,28.2,"Productivity increased, but there's anxiety about job security. Job rotations have increased."
Mcclain-Ford Pvt. Ltd.,Technology,Germany,Claude,2022,15910,13,5834,13.3,Collaboration improved; documentation and meetings are more efficient. Internal newsletters now highlight AI use cases.
"Watts, Valdez and Madden Pvt. Ltd.",Transportation,Brazil,Groq,2023,687,25,22856,12.4,"Productivity increased, but there's anxiety about job security. Managers were initially skeptical."
Brown-Gamble Pvt. Ltd.,Retail,Brazil,Groq,2024,6656,21,8020,21.9,Collaboration improved; documentation and meetings are more efficient. Monthly town halls discuss the AI rollout.
"Mcgee, Bell and Mitchell Pvt. Ltd.",Manufacturing,South Africa,LLaMA,2023,12392,3,5597,26.6,Collaboration improved; documentation and meetings are more efficient. HR hosted webinars weekly.
"Richardson, Wall and Abbott Pvt. Ltd.",Education,France,Mixtral,2024,4331,11,23561,10.3,"There's concern that AI will replace some of us soon. Overall, it's a big shift."
Reeves-Williams Pvt. Ltd.,Telecom,South Korea,ChatGPT,2023,17489,3,20636,4.8,"We now finish tasks faster, but some older employees are struggling. HR hosted webinars weekly."
Cross-Jacobs Pvt. Ltd.,Utilities,Canada,Gemini,2024,17073,9,18033,16.2,"Productivity increased, but there's anxiety about job security. Some departments feel left behind."
"Fernandez, Freeman and Steele Pvt. Ltd.",Defense,India,Gemini,2024,8700,5,12426,14.7,There's concern that AI will replace some of us soon. It changed how we communicate internally.
Jordan-Jackson Pvt. Ltd.,Utilities,Singapore,Claude,2022,15345,30,15154,14.2,"AI helped me reduce repetitive tasks, but learning curve was steep. Overall, it's a big shift."
Gomez-Logan Pvt. Ltd.,Telecom,Japan,Gemini,2024,19314,2,12851,23.6,"We now finish tasks faster, but some older employees are struggling. Job rotations have increased."
Suarez-Colon Pvt. Ltd.,Transportation,Canada,Gemini,2023,15116,19,2987,4.5,Collaboration improved; documentation and meetings are more efficient. It changed how we communicate internally.
"Johnson, Brooks and Morales Pvt. Ltd.",Transportation,Switzerland,Claude,2023,5385,17,17433,26.4,"Productivity increased, but there's anxiety about job security. Some departments feel left behind."
"Odom, Bryan and Black Pvt. Ltd.",Transportation,Japan,LLaMA,2022,19637,23,12725,19.6,There's concern that AI will replace some of us soon. HR hosted webinars weekly.
"Morales, Bautista and Mathis Pvt. Ltd.",Entertainment,USA,Groq,2022,14098,20,5773,26.0,"Productivity increased, but there's anxiety about job security. Managers were initially skeptical."
Collins-Payne Pvt. Ltd.,Healthcare,Brazil,ChatGPT,2024,15322,12,20037,12.5,New roles are exciting; transition was smoother than expected. Some departments feel left behind.
"Hall, Moore and Jackson Pvt. Ltd.",Entertainment,Canada,Claude,2022,9666,20,14902,23.5,"We now finish tasks faster, but some older employees are struggling. Monthly town halls discuss the AI rollout."
Orozco PLC Pvt. Ltd.,Transportation,Japan,ChatGPT,2022,11458,13,12201,30.8,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
Decker-Mason Pvt. Ltd.,Transportation,Japan,Groq,2023,16683,1,6542,3.2,"AI helped me reduce repetitive tasks, but learning curve was steep. It changed how we communicate internally."
"Schwartz, Johnson and Hamilton Pvt. Ltd.",Technology,Canada,ChatGPT,2022,8418,9,9837,29.1,There's concern that AI will replace some of us soon. Managers were initially skeptical.
"Lutz, Tucker and Wong Pvt. Ltd.",Telecom,Singapore,Mixtral,2023,11657,12,4415,28.1,"AI helped me reduce repetitive tasks, but learning curve was steep. It changed how we communicate internally."
"Bennett, Perry and Johnson Pvt. Ltd.",Advertising,UK,ChatGPT,2023,19109,7,9825,24.4,New roles are exciting; transition was smoother than expected. Managers were initially skeptical.
Gordon-Lane Pvt. Ltd.,Utilities,Canada,Claude,2024,7922,13,4170,19.2,Collaboration improved; documentation and meetings are more efficient. HR hosted webinars weekly.
"Clark, Greene and Garcia Pvt. Ltd.",Entertainment,UK,Claude,2024,3965,9,12413,6.5,"Productivity increased, but there's anxiety about job security. My team adapted faster than others."
"Massey, Bennett and Harris Pvt. Ltd.",Utilities,UAE,Mixtral,2023,11663,8,13492,32.2,New roles are exciting; transition was smoother than expected. Clients now expect faster results due to AI use.
"Jenkins, Gonzalez and Bird Pvt. Ltd.",Retail,UAE,Groq,2023,16914,20,13701,26.0,New roles are exciting; transition was smoother than expected. HR hosted webinars weekly.
"Bradshaw, Golden and Gardner Pvt. Ltd.",Transportation,South Korea,Claude,2022,5214,23,1250,15.1,"AI helped me reduce repetitive tasks, but learning curve was steep. Managers were initially skeptical."
Todd-Farmer Pvt. Ltd.,Entertainment,Switzerland,Claude,2023,13964,3,3516,12.0,Collaboration improved; documentation and meetings are more efficient. HR hosted webinars weekly.
"Mcpherson, Daniel and Fischer Pvt. Ltd.",Telecom,UK,LLaMA,2023,9827,14,3034,27.0,"AI helped me reduce repetitive tasks, but learning curve was steep. HR hosted webinars weekly."
Montgomery-Gentry Pvt. Ltd.,Transportation,Germany,ChatGPT,2024,8087,1,3905,10.3,"New roles are exciting; transition was smoother than expected. Overall, it's a big shift."
Wilson-Matthews Pvt. Ltd.,Utilities,UK,Gemini,2022,6188,6,2878,26.4,Our workflows have improved drastically with generative AI. Clients now expect faster results due to AI use.
Jones-Watkins Pvt. Ltd.,Manufacturing,UAE,Mixtral,2022,13823,12,4186,16.5,"We now finish tasks faster, but some older employees are struggling. Clients now expect faster results due to AI use."
"Smith, Frank and Peters Pvt. Ltd.",Healthcare,France,Mixtral,2024,18640,1,16700,8.2,"AI helped me reduce repetitive tasks, but learning curve was steep. HR hosted webinars weekly."
"Coleman, Martin and Kennedy Pvt. Ltd.",Retail,Canada,Mixtral,2022,1650,21,9618,18.1,I love using AI—it makes my job easier and more fun. HR hosted webinars weekly.
Williams-Murray Pvt. Ltd.,Utilities,South Korea,Claude,2022,1867,6,7556,15.4,There's concern that AI will replace some of us soon. Clients now expect faster results due to AI use.
"James, Bryant and Gonzalez Pvt. Ltd.",Utilities,Australia,ChatGPT,2022,10477,20,18288,17.3,I love using AI—it makes my job easier and more fun. Internal newsletters now highlight AI use cases.
"Martin, Oliver and Edwards Pvt. Ltd.",Transportation,Canada,Claude,2023,13908,30,22793,5.4,I love using AI—it makes my job easier and more fun. Monthly town halls discuss the AI rollout.
Velazquez-Mccoy Pvt. Ltd.,Hospitality,South Korea,LLaMA,2024,16713,6,24922,32.1,New roles are exciting; transition was smoother than expected. Clients now expect faster results due to AI use.
"Johnson, Daniel and Clayton Pvt. Ltd.",Advertising,South Africa,Mixtral,2023,18430,19,21149,21.5,Collaboration improved; documentation and meetings are more efficient. Managers were initially skeptical.
"Johnson, Martin and Alvarez Pvt. Ltd.",Finance,Japan,Mixtral,2023,11289,12,533,26.0,New roles are exciting; transition was smoother than expected. Monthly town halls discuss the AI rollout.
"Martin, Peterson and Eaton Pvt. Ltd.",Finance,USA,LLaMA,2022,17561,28,5490,10.4,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
Mckenzie-Hooper Pvt. Ltd.,Technology,Canada,LLaMA,2022,1862,17,3859,3.5,There's concern that AI will replace some of us soon. Some departments feel left behind.
Wright-Gates Pvt. Ltd.,Education,Germany,LLaMA,2022,11204,15,19610,16.5,"Productivity increased, but there's anxiety about job security. Managers were initially skeptical."
"Cruz, Robinson and Stewart Pvt. Ltd.",Entertainment,South Korea,Claude,2024,9814,17,9256,20.0,"Job roles have shifted a lot, which is both good and scary. Managers were initially skeptical."
"Cole, Hall and Green Pvt. Ltd.",Utilities,South Africa,ChatGPT,2023,19809,16,14369,27.7,"Job roles have shifted a lot, which is both good and scary. Job rotations have increased."
Graham-Chapman Pvt. Ltd.,Telecom,Japan,Gemini,2024,10222,15,21984,23.8,"Mixed responses—management excited, staff feel uncertain. Overall, it's a big shift."
"Villa, English and Harrison Pvt. Ltd.",Technology,France,LLaMA,2022,11029,30,20928,28.5,"Mixed responses—management excited, staff feel uncertain. Monthly town halls discuss the AI rollout."
Conley-Hill Pvt. Ltd.,Transportation,South Korea,Groq,2022,4846,21,10991,9.6,"We now finish tasks faster, but some older employees are struggling. It changed how we communicate internally."
"Salinas, Sampson and Reyes Pvt. Ltd.",Legal Services,Australia,Claude,2023,4426,23,15315,4.5,"We now finish tasks faster, but some older employees are struggling. It changed how we communicate internally."
"Johnson, Robles and Duarte Pvt. Ltd.",Telecom,South Korea,Gemini,2022,2369,19,11570,15.9,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
"Murphy, Mendez and Sparks Pvt. Ltd.",Manufacturing,Brazil,Claude,2024,17639,18,15120,4.6,"AI helped me reduce repetitive tasks, but learning curve was steep. Some departments feel left behind."
Cameron-Marsh Pvt. Ltd.,Education,South Africa,Claude,2022,10142,7,23592,19.9,"AI helped me reduce repetitive tasks, but learning curve was steep. Managers were initially skeptical."
Osborn-Castro Pvt. Ltd.,Defense,South Korea,Gemini,2024,10393,28,10945,17.9,Collaboration improved; documentation and meetings are more efficient. Job rotations have increased.
"Swanson, Roberson and Gardner Pvt. Ltd.",Transportation,Canada,LLaMA,2024,9883,24,10050,25.8,"AI helped me reduce repetitive tasks, but learning curve was steep. Overall, it's a big shift."
Flynn-Pollard Pvt. Ltd.,Technology,Germany,Gemini,2024,12980,17,13637,16.7,Collaboration improved; documentation and meetings are more efficient. Managers were initially skeptical.
Duncan-Sanchez Pvt. Ltd.,Healthcare,South Africa,Claude,2023,7982,3,18006,4.2,There's concern that AI will replace some of us soon. Monthly town halls discuss the AI rollout.
"Watts, Gaines and Molina Pvt. Ltd.",Legal Services,Germany,LLaMA,2023,11932,19,21867,18.9,New roles are exciting; transition was smoother than expected. Some departments feel left behind.
Melendez-Coffey Pvt. Ltd.,Entertainment,Singapore,Groq,2024,7566,20,15425,2.1,"Job roles have shifted a lot, which is both good and scary. Overall, it's a big shift."
"White, Stone and Morgan Pvt. Ltd.",Advertising,France,ChatGPT,2024,13666,15,20119,19.2,There's concern that AI will replace some of us soon. Internal newsletters now highlight AI use cases.
"Hess, Hale and Cummings Pvt. Ltd.",Entertainment,South Korea,Groq,2023,4821,3,4232,28.7,"AI helped me reduce repetitive tasks, but learning curve was steep. HR hosted webinars weekly."
Molina-Lowe Pvt. Ltd.,Manufacturing,Japan,LLaMA,2022,8815,7,23207,2.1,"Productivity increased, but there's anxiety about job security. Internal newsletters now highlight AI use cases."
Rogers-Bowers Pvt. Ltd.,Telecom,Brazil,Claude,2022,6297,7,10923,6.6,Our workflows have improved drastically with generative AI. It changed how we communicate internally.
"Eaton, Morales and Petty Pvt. Ltd.",Hospitality,France,Gemini,2022,18404,20,7965,17.5,There's concern that AI will replace some of us soon. Some departments feel left behind.
Barajas-Flores Pvt. Ltd.,Transportation,India,Mixtral,2023,17601,5,8395,7.8,I love using AI—it makes my job easier and more fun. Job rotations have increased.
Martin-Harrington Pvt. Ltd.,Legal Services,France,Groq,2023,494,16,21921,19.6,"AI helped me reduce repetitive tasks, but learning curve was steep. Monthly town halls discuss the AI rollout."
"Harper, Cunningham and Carter Pvt. Ltd.",Manufacturing,Germany,Mixtral,2022,15620,29,17092,12.0,New roles are exciting; transition was smoother than expected. HR hosted webinars weekly.
"Thompson, Clark and Atkins Pvt. Ltd.",Defense,Canada,Gemini,2024,5458,30,8094,30.0,I love using AI—it makes my job easier and more fun. Internal newsletters now highlight AI use cases.
Nichols-Mcdonald Pvt. Ltd.,Retail,UK,Mixtral,2023,19764,3,18396,28.0,"There's concern that AI will replace some of us soon. Overall, it's a big shift."
"Norton, Ramos and Pope Pvt. Ltd.",Retail,South Korea,ChatGPT,2023,12912,29,2674,26.1,New roles are exciting; transition was smoother than expected. Internal newsletters now highlight AI use cases.
Munoz-Lee Pvt. Ltd.,Education,South Africa,Groq,2022,6044,15,15168,25.9,"We now finish tasks faster, but some older employees are struggling. Job rotations have increased."
Hardy-Taylor Pvt. Ltd.,Advertising,France,LLaMA,2023,6764,13,11470,23.6,There's concern that AI will replace some of us soon. Monthly town halls discuss the AI rollout.
Sanchez-Smith Pvt. Ltd.,Finance,South Korea,Mixtral,2024,14318,19,10565,3.9,Our workflows have improved drastically with generative AI. Managers were initially skeptical.
"Malone, Young and Henderson Pvt. Ltd.",Manufacturing,Japan,Claude,2022,19055,11,3229,24.5,"Productivity increased, but there's anxiety about job security. Monthly town halls discuss the AI rollout."
Anderson-Garcia Pvt. Ltd.,Hospitality,USA,Gemini,2022,18817,29,22603,7.0,"Mixed responses—management excited, staff feel uncertain. Clients now expect faster results due to AI use."
Mccullough-Daniel Pvt. Ltd.,Transportation,Switzerland,ChatGPT,2023,19846,12,13932,26.0,"We now finish tasks faster, but some older employees are struggling. Some departments feel left behind."
Russell-Francis Pvt. Ltd.,Entertainment,UK,ChatGPT,2023,669,26,4844,18.8,"We now finish tasks faster, but some older employees are struggling. Managers were initially skeptical."
King-Nelson Pvt. Ltd.,Entertainment,Australia,Claude,2024,3886,29,17118,10.0,"Job roles have shifted a lot, which is both good and scary. Internal newsletters now highlight AI use cases."
Benson-Fernandez Pvt. Ltd.,Utilities,Switzerland,ChatGPT,2022,8745,9,20164,30.3,There's concern that AI will replace some of us soon. Managers were initially skeptical.
"Castro, Henry and Wallace Pvt. Ltd.",Hospitality,Australia,Mixtral,2022,792,17,20179,10.0,"Job roles have shifted a lot, which is both good and scary. Some departments feel left behind."
"Mack, Burch and Morgan Pvt. Ltd.",Retail,Brazil,Gemini,2022,6770,17,15786,15.2,New roles are exciting; transition was smoother than expected. Monthly town halls discuss the AI rollout.
Sanchez-Foster Pvt. Ltd.,Defense,South Africa,Groq,2022,1168,10,22696,9.0,"We now finish tasks faster, but some older employees are struggling. Clients now expect faster results due to AI use."
Olsen-Campbell Pvt. Ltd.,Utilities,Japan,Claude,2024,19909,1,21593,24.4,"Productivity increased, but there's anxiety about job security. Some departments feel left behind."
Cantu-Rodriguez Pvt. Ltd.,Defense,Germany,Claude,2022,14971,2,11632,7.6,"AI helped me reduce repetitive tasks, but learning curve was steep. Overall, it's a big shift."
Obrien-Mason Pvt. Ltd.,Retail,Singapore,Mixtral,2022,16210,7,13166,9.0,There's concern that AI will replace some of us soon. Some departments feel left behind.
Snyder LLC Pvt. Ltd.,Advertising,UAE,Mixtral,2022,14022,25,18419,27.6,"Mixed responses—management excited, staff feel uncertain. HR hosted webinars weekly."
Duarte-Richardson Pvt. Ltd.,Finance,India,LLaMA,2024,19185,24,15395,24.9,Collaboration improved; documentation and meetings are more efficient. My team adapted faster than others.
Hutchinson-Pugh Pvt. Ltd.,Telecom,South Korea,Mixtral,2024,12063,28,19207,20.0,"We now finish tasks faster, but some older employees are struggling. Overall, it's a big shift."
"Miller, Archer and Beck Pvt. Ltd.",Technology,Canada,LLaMA,2022,5410,9,5095,27.8,"Mixed responses—management excited, staff feel uncertain. My team adapted faster than others."
Evans-Hunter Pvt. Ltd.,Transportation,France,LLaMA,2023,18216,11,22039,2.9,I love using AI—it makes my job easier and more fun. My team adapted faster than others.
Lopez-Rosales Pvt. Ltd.,Transportation,Singapore,Gemini,2022,14425,15,20008,30.2,"New roles are exciting; transition was smoother than expected. Overall, it's a big shift."
"Barker, Miller and Erickson Pvt. Ltd.",Utilities,Germany,ChatGPT,2022,11057,6,5079,9.2,"Job roles have shifted a lot, which is both good and scary. Overall, it's a big shift."
Burns-Turner Pvt. Ltd.,Hospitality,USA,ChatGPT,2022,18223,7,10717,16.0,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
"Wilson, Horton and Keith Pvt. Ltd.",Education,Singapore,Claude,2022,3051,18,20188,19.4,"AI helped me reduce repetitive tasks, but learning curve was steep. Monthly town halls discuss the AI rollout."
Yoder-Norton Pvt. Ltd.,Telecom,Singapore,Mixtral,2024,8129,13,4877,11.4,I love using AI—it makes my job easier and more fun. Clients now expect faster results due to AI use.
"Hughes, Clark and Bell Pvt. Ltd.",Healthcare,France,LLaMA,2023,12166,19,616,28.8,Our workflows have improved drastically with generative AI. It changed how we communicate internally.
Marshall-Gonzalez Pvt. Ltd.,Technology,Singapore,Mixtral,2024,19963,22,14486,25.9,There's concern that AI will replace some of us soon. Monthly town halls discuss the AI rollout.
"Lopez, Oneal and Dawson Pvt. Ltd.",Hospitality,India,ChatGPT,2023,4846,13,10023,33.2,New roles are exciting; transition was smoother than expected. Internal newsletters now highlight AI use cases.
Charles Inc Pvt. Ltd.,Transportation,UAE,Claude,2023,7957,20,18792,23.6,Our workflows have improved drastically with generative AI. It changed how we communicate internally.
"Mckay, Bonilla and Martinez Pvt. Ltd.",Finance,Canada,ChatGPT,2024,569,11,10572,34.4,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
"Harmon, Robinson and Keith Pvt. Ltd.",Legal Services,Japan,Groq,2022,9893,22,2864,19.8,"We now finish tasks faster, but some older employees are struggling. Job rotations have increased."
"Odom, Duncan and Morris Pvt. Ltd.",Telecom,India,Gemini,2024,16500,27,9558,26.3,Our workflows have improved drastically with generative AI. Monthly town halls discuss the AI rollout.
"Moyer, Benson and Bush Pvt. Ltd.",Hospitality,India,Groq,2024,8360,1,21848,12.0,There's concern that AI will replace some of us soon. Some departments feel left behind.
"Spencer, Christian and Johnson Pvt. Ltd.",Transportation,Brazil,Groq,2024,9766,27,18322,8.7,"Mixed responses—management excited, staff feel uncertain. Internal newsletters now highlight AI use cases."
"Soto, Gonzalez and Smith Pvt. Ltd.",Education,USA,Mixtral,2024,5607,26,8952,21.0,"Mixed responses—management excited, staff feel uncertain. Managers were initially skeptical."
"Frazier, Mccormick and Kane Pvt. Ltd.",Finance,Germany,LLaMA,2024,3539,1,8812,16.5,"Job roles have shifted a lot, which is both good and scary. Some departments feel left behind."
"Washington, Barnes and Evans Pvt. Ltd.",Advertising,Brazil,Gemini,2022,15030,16,22515,28.5,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
"Dawson, Jordan and Hoffman Pvt. Ltd.",Defense,South Africa,Groq,2023,3918,24,19199,5.4,"Job roles have shifted a lot, which is both good and scary. It changed how we communicate internally."
